Price,Location,Area,Rooms,Bathrooms,Pieces,Type of property,Floor,Condition,Age,Air conditioning,Garden,Furnished,Pool,Heating,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views
Price on request,Hergla,65m²,1 Room,1 Bathroom,3 Pieces,Apartment,,New,,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
"350,000 TND",Sahloul inSousse Ville,140m²,3 Rooms,2 Bathrooms,4 Pieces,Apartment,5th,New,Less than 1 year,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no
Price on request,Les Berges Du Lac 1 inLa Marsa,267m²,3 Rooms,1 Bathroom,3 Pieces,Apartment,,New,,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Price on request,La Soukra inLa Soukra,235m²,3 Rooms,2 Bathrooms,1 Piece,Apartment,2nd,New,Less than 1 year,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no
"398,000 TND",Sahloul inSousse Ville,143m²,3 Rooms,2 Bathrooms,4 Pieces,Apartment,4th,New,Less than 1 year,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no
"335,000 TND",Sahloul inSousse Ville,119m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,1st,New,Less than 1 year,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no
"375,000 TND",Sahloul inSousse Ville,118m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,6th,New,Less than 1 year,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no
"318,000 TND",Sahloul inSousse Ville,105m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,4th,New,Less than 1 year,yes,no,yes,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,yes,no
"315,000 TND",Sahloul inSousse Ville,116m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,4th,New,Less than 1 year,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no
"2,200,000 TND",Les Jardins de Carthage inLe Kram,570m²,3 Rooms,3 Bathrooms,4 Pieces,Villa,,Good condition,,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no
"1,800,000 TND",El Menzah 9 inEl Menzah,600m²,4 Rooms,4 Bathrooms,5 Pieces,Villa,,Good condition,,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no
"440,000 TND",Les Jardins de Carthage inLe Kram,70m²,1 Room,1 Bathroom,2 Pieces,Apartment,,New,,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no
Price on request,La Soukra inLa Soukra,197m²,3 Rooms,3 Bathrooms,4 Pieces,Apartment,1st,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no
"650,000 TND",Ain Zaghouan Nord inLa Marsa,144m²,4 Rooms,3 Bathrooms,5 Pieces,Apartment,,Good condition,,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes
"295,000 TND",Cité El Wafa inNabeul,108m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,,Good condition,,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Price on request,Les Berges Du Lac 2 inLa Marsa,200m²,4 Rooms,4 Bathrooms,5 Pieces,Apartment,,Good condition,,yes,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no
"500,000 TND",Aouina inLa Marsa,249m²,3 Rooms,2 Bathrooms,4 Pieces,Apartment,,Good condition,5-10 years old,yes,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no
Price on request,Gammarth Supérieur inLa Marsa,285m²,4 Rooms,4 Bathrooms,7 Pieces,House,,New,Less than 1 year,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes
"410,000 TND",Les Jardins de Carthage inLe Kram,100m²,1 Room,1 Bathroom,2 Pieces,Apartment,,Good condition,Less than 1 year,yes,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no
Price on request,Gammarth inLa Marsa,350m²,4 Rooms,4 Bathrooms,7 Pieces,Villa,,New,Less than 1 year,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Price on request,Les Berges Du Lac 2 inLa Marsa,600m²,5 Rooms,3 Bathrooms,7 Pieces,Villa,,Good condition,5-10 years old,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"384,000 TND",Cité el Ghazela inRaoued,136m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,1st,New,Less than 1 year,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no
Price on request,Mutuelle Ville inEl Menzah,570m²,3 Rooms,2 Bathrooms,6 Pieces,Villa,,New,5-10 years old,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Price on request,Gammarth inLa Marsa,400m²,4 Rooms,3 Bathrooms,6 Pieces,Apartment,,Good condition,1-5 years old,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"322,300 TND",Cité el Ghazela inRaoued,111m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,5th,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no
"700,000 TND",Les Jardins de Carthage inLe Kram,140m²,2 Rooms,3 Bathrooms,3 Pieces,Apartment,,New,,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no
"1,050,000 TND",Bellevue inTunis,528m²,6 Rooms,1 Bathroom,5 Pieces,House,,New,,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
"315,900 TND",Cité el Ghazela inRaoued,117m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no
"990,000 TND",Bellevue inEl Ouardia,442m²,6 Rooms,1 Bathroom,6 Pieces,House,,New,,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
"1,200,000 TND",Tunis,608m²,8 Rooms,,,House,,,,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
"361,500 TND",Cité el Ghazela inRaoued,135m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,3rd,New,Less than 1 year,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no
"150,000 TND",El Mourouj 1 inEl Mourouj,110m²,4 Rooms,,,Apartment,,,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
"575,000 TND",Bellevue inEl Ouardia,115m²,2 Rooms,1 Bathroom,2 Pieces,House,,New,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Price on request,Gammarth inLa Marsa,162m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
"300,000 TND",Sahloul inSousse Ville,116m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,4th,New,Less than 1 year,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no
"285,000 TND",Ain Zaghouan Nord inLa Marsa,82m²,1 Room,1 Bathroom,2 Pieces,Apartment,,Good condition,,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no
"550,000 TND",La Marsa inLa Marsa,122m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,1st,Good condition,,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no
"195,000 TND",Beni Khiar inBeni Khiar,64m²,1 Room,1 Bathroom,4 Pieces,Apartment,,New,,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"368,000 TND",Sahloul inSousse Ville,145m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,3rd,New,Less than 1 year,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no
"1,300,000 TND
												

													Decreased by
													100,000 TND",La Marsa inLa Marsa,640m²,3 Rooms,2 Bathrooms,4 Pieces,House,,Good condition,1-5 years old,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no
"220,000 TND",Hammamet Sud inHammamet,200m²,4 Rooms,2 Bathrooms,9 Pieces,House,,Good condition,,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"350,000 TND",Hammam Sousse inHammam Sousse,200m²,3 Rooms,3 Bathrooms,5 Pieces,House,,New,1-5 years old,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"1,650,000 TND",Les Berges Du Lac 1 inLa Marsa,263m²,3 Rooms,4 Bathrooms,4 Pieces,Villa,,Good condition,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no
"2,480,000 TND",La Soukra inLa Soukra,2048m²,5 Rooms,1 Bathroom,6 Pieces,Villa,,Good condition,,yes,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no
"1,400,000 TND",La Soukra inLa Soukra,540m²,5 Rooms,5 Bathrooms,5 Pieces,House,,New,1-5 years old,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes
"150,000 TND",Hammam El Ghezaz,220m²,3 Rooms,2 Bathrooms,5 Pieces,House,,Good condition,,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"358,000 TND",Aouina inLa Marsa,150m²,3 Rooms,2 Bathrooms,4 Pieces,Apartment,7th,Good condition,5-10 years old,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no
"418,400 TND",Chotrana 3 inLa Soukra,100m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,,New,,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no
Price on request,Ain Zaghouan Sud inLa Marsa,320m²,5 Rooms,5 Bathrooms,6 Pieces,Villa,,Good condition,,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no
Price on request,Les Berges Du Lac 2 inLa Marsa,930m²,5 Rooms,5 Bathrooms,6 Pieces,Villa,,Good condition,,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,yes,yes,no,yes,no
Price on request,Les Jardins de Carthage inLe Kram,150m²,3 Rooms,,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"234,000 TND",Sahloul inSousse Ville,73m²,1 Room,1 Bathroom,1 Piece,Apartment,,New,,yes,no,no,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no
"520,000 TND",Hammam Sousse inHammam Sousse,330m²,3 Rooms,2 Bathrooms,5 Pieces,Villa,,Good condition,,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
"570,000 TND",Hammam Sousse inHammam Sousse,145m²,,,,Villa,,,,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
