Price,Type of property,City,Region,Area,Rooms,Bathrooms,Condition,Air conditioning,Garden,Furnished,Pool,Heating,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views
990000.0,House,Bellevue,El Ouardia,442,6,1,New,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
361500.0,Apartment,Cité el Ghazela,Raoued,135,2,1,New,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no
575000.0,House,Bellevue,El Ouardia,115,2,1,New,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
300000.0,Apartment,Sahloul,Sousse Ville,116,2,1,New,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no
285000.0,Apartment,Ain Zaghouan Nord,La Marsa,82,1,1,Good condition,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no
550000.0,Apartment,La Marsa,La Marsa,122,2,2,Good condition,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no
195000.0,Apartment,Beni Khiar,Beni Khiar,64,1,1,New,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
368000.0,Apartment,Sahloul,Sousse Ville,145,2,2,New,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no
1300000.0,House,La Marsa,La Marsa,640,3,2,Good condition,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no
220000.0,House,Hammamet Sud,Hammamet,200,4,2,Good condition,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
350000.0,House,Hammam Sousse,Hammam Sousse,200,3,3,New,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1650000.0,Villa,Les Berges Du Lac 1,La Marsa,263,3,4,Good condition,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no
2480000.0,Villa,La Soukra,La Soukra,2048,5,1,Good condition,yes,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no
1400000.0,House,La Soukra,La Soukra,540,5,5,New,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes
150000.0,House,Hammam El Ghezaz,Hammam El Ghezaz,220,3,2,Good condition,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
358000.0,Apartment,Aouina,La Marsa,150,3,2,Good condition,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no
418400.0,Apartment,Chotrana 3,La Soukra,100,2,2,New,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no
234000.0,Apartment,Sahloul,Sousse Ville,73,1,1,New,yes,no,no,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no
520000.0,Villa,Hammam Sousse,Hammam Sousse,330,3,2,Good condition,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
580000.0,Apartment,El Kantaoui,Hammam Sousse,133,2,1,New,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no
1100000.0,Villa,Khezama Ouest,Khezama Ouest,600,6,3,Good condition,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no
590000.0,Villa,Hammam Sousse Gharbi,Hammam Sousse Gharbi,370,4,3,Good condition,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
294000.0,Apartment,La Soukra,La Soukra,93,2,1,New,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no
375000.0,Apartment,Bou Mhel,Boumhel Bassatine,152,3,2,New,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no
1800000.0,Villa,La Soukra,La Soukra,460,3,4,Good condition,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no
2700000.0,Villa,Gammarth,La Marsa,500,4,2,Good condition,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no
478400.0,Apartment,Les Jardins de Carthage,Le Kram,92,2,2,New,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no
370000.0,Apartment,Riadh al Andalous,Ariana Ville,117,3,1,Good condition,yes,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,no
562800.0,Apartment,Les Jardins de Carthage,Le Kram,100,2,1,New,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no
2600000.0,Villa,La Soukra,La Soukra,1300,5,4,Good condition,yes,yes,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,no,yes,no
1400000.0,Villa,La Soukra,La Soukra,505,4,1,Good condition,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no
900000.0,Apartment,Les Jardins de Carthage,Le Kram,178,3,3,Good condition,yes,no,no,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no
298000.0,Apartment,Sahloul,Sousse Ville,103,2,1,New,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no
315000.0,Apartment,Aouina,La Marsa,122,3,2,Good condition,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no
2100000.0,Villa,Gammarth,La Marsa,378,4,5,New,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
1500000.0,Villa,Cité de la Plage,Hammam Sousse,720,10,10,Good condition,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
200000.0,Apartment,Hammamet,Hammamet,80,1,1,New,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
530000.0,Apartment,Cité Ennasr,Mnihla,180,3,2,Good condition,yes,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no
1200000.0,Villa,Hammamet Sud,Hammamet,600,5,5,New,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
880000.0,Villa,Hammamet,Hammamet,500,4,5,New,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes
