Type,Price,Location,Area,Pieces,Rooms,Bathrooms,Condition,Air conditioning,Garden,Heating,Furnished,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Pool,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views,Stage,Age,uknown
apartment,"4,500 TND",Les Berges Du Lac 2 inLa Marsa,180m²,4 Pieces,3 Rooms,2 Bathrooms,New,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
apartment,"12,500 TND",Les Berges Du Lac 2 inLa Marsa,753m²,6 Pieces,5 Rooms,5 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,no,yes,no,,,
apartment,"2,500 TND",Les Berges Du Lac 2 inLa Marsa,130m²,3 Pieces,2 Rooms,2 Bathrooms,Good condition,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,,,
apartment,"1,200 TND",La Marsa inLa Marsa,130m²,2 Pieces,2 Rooms,1 Bathroom,New,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
apartment,"3,500 TND",La Marsa inLa Marsa,130m²,3 Pieces,2 Rooms,2 Bathrooms,New,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
apartment,"4,000 TND",La Marsa inLa Marsa,110m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartment,"3,500 TND",La Soukra inLa Soukra,,4 Pieces,3 Rooms,1 Bathroom,New,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no,2ndstage,Less than 1 year,
house,"8,000 TND",La Marsa inLa Marsa,,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,,,
apartment,"4,200 TND",Gammarth inLa Marsa,,5 Pieces,4 Rooms,2 Bathrooms,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,,1-5 years old,
apartment,"4,500 TND",Les Berges Du Lac 2 inLa Marsa,,5 Pieces,4 Rooms,3 Bathrooms,Good condition,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,2ndstage,1-5 years old,
apartment,"3,500 TND",Gammarth inLa Marsa,,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,2ndstage,1-5 years old,
house,"2,700 TND",Gammarth inLa Marsa,,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,3rdstage,1-5 years old,
