Type,Price,Location,Area,Pieces,Rooms,Bathrooms,Condition,Air conditioning,Garden,Heating,Furnished,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Pool,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views,Stage,Age,uknown
apartment,"1,800 TND",Chotrana 1 inLa Soukra,138m²,7 Pieces,3 Rooms,2 Bathrooms,New,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,1ststage,Less than 1 year,
house,"5,500 TND",La Soukra inLa Soukra,1000m²,6 Pieces,5 Rooms,3 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,,5-10 years old,
house,"2,300 TND",Mutuelle Ville inEl Menzah,120m²,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,,1-5 years old,
house,"5,000 TND",Gammarth Supérieur inLa Marsa,800m²,6 Pieces,6 Rooms,1 Bathroom,New,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,,,
house,"5,500 TND",Gammarth inLa Marsa,,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,,1-5 years old,
apartment,"5,500 TND",Les Berges Du Lac 1 inLa Marsa,240m²,4 Pieces,4 Rooms,1 Bathroom,New,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,,
house,"1,250 TND",Ain Zaghouan Nord inLa Marsa,87m²,,1 Room,1 Bathroom,New,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,,1-5 years old,1 Piece
apartment,"2,600 TND",La Marsa inLa Marsa,,5 Pieces,2 Rooms,1 Bathroom,New,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,1ststage,10-20 years old,
house,"5,000 TND",Gammarth inLa Marsa,,5 Pieces,4 Rooms,3 Bathrooms,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,,10-20 years old,
apartment,"5,000 TND",La Marsa inLa Marsa,,6 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,,5-10 years old,
house,"1,300 TND",Midoune inMidoun,100m²,3 Pieces,2 Rooms,1 Bathroom,New,yes,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,,Less than 1 year,
apartment,"2,500 TND",Les Jardins de Carthage inLe Kram,120m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,,,
apartment,,El Menzah 9 inEl Menzah,120m²,4 Pieces,2 Rooms,1 Bathroom,Good condition,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,,,
apartment,"2,000 TND",La Marsa inLa Marsa,90m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,,
house,"1,500 TND",Hammamet inHammamet,80m²,2 Pieces,1 Room,1 Bathroom,New,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,,,
apartment,"2,200 TND",Les Jardins de Carthage inLe Kram,170m²,,3 Rooms,2 Bathrooms,Good condition,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,4thstage,1-5 years old,
apartment,"1,400 TND",La Marsa inLa Marsa,50m²,,1 Room,1 Bathroom,New,yes,no,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,1ststage,Less than 1 year,
apartment,"4,000 TND",Gammarth Supérieur inLa Marsa,250m²,5 Pieces,4 Rooms,3 Bathrooms,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,,Less than 1 year,
house,750 TND,Hammamet Nord inHammamet,100m²,2 Pieces,1 Room,1 Bathroom,Good condition,yes,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,,1-5 years old,
apartment,"4,000 TND",Carthage inCarthage,140m²,4 Pieces,3 Rooms,1 Bathroom,Good condition,yes,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,,,
apartment,"1,700 TND",La Marsa inLa Marsa,70m²,2 Pieces,1 Room,1 Bathroom,Good condition,no,no,no,yes,yes,no,no,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,,,
apartment,"1,750 TND",Cité Ennasr 1 inAriana Ville,150m²,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,,,
house,"4,500 TND",Hammamet Nord inHammamet,868m²,5 Pieces,3 Rooms,4 Bathrooms,Good condition,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,,,
house,"3,000 TND",Hammamet Sud inHammamet,270m²,5 Pieces,4 Rooms,3 Bathrooms,Good condition,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,,,
house,"5,000 TND",Carthage inCarthage,350m²,6 Pieces,5 Rooms,2 Bathrooms,Good condition,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,,,
apartment,"7,000 TND",Les Berges Du Lac 2 inLa Marsa,230m²,5 Pieces,4 Rooms,4 Bathrooms,Good condition,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,,1-5 years old,
apartment,600 TND,Borj Louzir inLa Soukra,120m²,3 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,3rdstage,,
apartment,"1,600 TND",Sidi Bousaid inCarthage,120m²,4 Pieces,2 Rooms,2 Bathrooms,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,no,1ststage,5-10 years old,
apartment,"1,200 TND",Hammamet Nord inHammamet,,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,,,
house,"3,800 TND",Hammamet inHammamet,400m²,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,,,
house,"4,500 TND",El Menzah 9 inEl Menzah,800m²,,,,,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,,,
house,"6,500 TND",La Marsa inLa Marsa,250m²,,,,,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,,,
apartment,"3,500 TND",Gammarth inLa Marsa,101m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,,,
apartment,"1,650 TND",Gammarth inLa Marsa,154m²,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,,
apartment,"1,800 TND",Gammarth inLa Marsa,125m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,yes,no,,,
house,"4,800 TND",Gammarth Supérieur inLa Marsa,120m²,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,,,
house,"3,000 TND",El Menzah 8 inAriana Ville,200m²,2 Pieces,2 Rooms,2 Bathrooms,Good condition,,,,,,,,,,,,,,,,,,,,,,,,,,
house,"4,000 TND",Cité Jardins inCité El Khadra,400m²,6 Pieces,4 Rooms,3 Bathrooms,Good condition,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,20-30 years old,
apartment,"1,300 TND",Hammamet Nord inHammamet,,5 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,1ststage,,
apartment,"1,400 TND",Hammamet inHammamet,,5 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,1ststage,,
apartment,"2,100 TND",Hammamet Nord inHammamet,,6 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,3rdstage,,
apartment,"1,500 TND",Hammamet Nord inHammamet,,6 Pieces,3 Rooms,1 Bathroom,Good condition,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,,,
house,"6,000 TND",Sidi Bousaid inCarthage,180m²,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,,,
apartment,950 TND,Sidi Frej inLa Soukra,120m²,3 Pieces,2 Rooms,1 Bathroom,New,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1ststage,,
apartment,"2,500 TND",Hammamet Nord inHammamet,140m²,3 Pieces,2 Rooms,2 Bathrooms,New,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,,Less than 1 year,
apartment,"2,400 TND",Les Berges Du Lac 2 inLa Marsa,130m²,3 Pieces,2 Rooms,2 Bathrooms,Good condition,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,,5-10 years old,
house,"2,950 TND",La Soukra inLa Soukra,250m²,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,,5-10 years old,
apartment,"4,000 TND",Sidi Bousaid inCarthage,190m²,5 Pieces,4 Rooms,2 Bathrooms,Good condition,no,no,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,,,
house,"9,500 TND",Gammarth inLa Marsa,250m²,5 Pieces,4 Rooms,2 Bathrooms,Good condition,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,,,
house,"2,000 TND",Cité El Ahmadi inLa Marsa,130m²,,3 Rooms,2 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,,5-10 years old,
apartment,"1,950 TND",Cité des Juges inLa Marsa,250m²,,3 Rooms,2 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,1ststage,10-20 years old,
house,"4,000 TND",Gammarth Supérieur inLa Marsa,230m²,4 Pieces,3 Rooms,2 Bathrooms,New,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,Less than 1 year,
apartment,"2,200 TND",Les Jardins de Carthage inLe Kram,170m²,5 Pieces,3 Rooms,3 Bathrooms,New,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,4thstage,1-5 years old,
house,"4,000 TND",Chotrana 1 inLa Soukra,394m²,5 Pieces,5 Rooms,3 Bathrooms,New,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,,,
house,"2,000 TND",La Soukra inLa Soukra,140m²,3 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,,,
apartment,"1,000 TND",La Soukra inLa Soukra,65m²,2 Pieces,1 Room,1 Bathroom,New,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,,,
apartment,"5,000 TND",Gammarth Supérieur inLa Marsa,280m²,,4 Rooms,,,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,,,
house,"7,000 TND",Gammarth inLa Marsa,280m²,7 Pieces,5 Rooms,4 Bathrooms,Good condition,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,,,
house,"5,000 TND",La Marsa inLa Marsa,600m²,5 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,,,
house,,Ksar Said inLe Bardo,110m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,,5-10 years old,
apartment,"2,700 TND",Les Berges Du Lac 2 inLa Marsa,180m²,4 Pieces,3 Rooms,2 Bathrooms,New,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,3rdstage,,
apartment,"4,500 TND",La Marsa inLa Marsa,150m²,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,,,
house,"8,500 TND",Gammarth inLa Marsa,900m²,,4 Rooms,3 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,,5-10 years old,
house,"2,000 TND",Les Berges Du Lac 2 inLa Marsa,95m²,2 Pieces,1 Room,2 Bathrooms,Good condition,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,,,
apartment,"2,600 TND",La Marsa inLa Marsa,120m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,,,
house,"2,000 TND",Djerba inDjerba,,5 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,yes,yes,no,,,
house,"2,000 TND",Hergla,100m²,6 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,yes,,,
apartment,"1,600 TND",Ain Zaghouan Nord inLa Marsa,70m²,,1 Room,1 Bathroom,New,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,,,1 Piece
apartment,"2,400 TND",Aouina inLa Marsa,209m²,5 Pieces,4 Rooms,1 Bathroom,Good condition,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
house,"1,800 TND",Djerba inDjerba,,5 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,yes,yes,no,,,
house,"1,200 TND",Rades Mongil inRades,160m²,4 Pieces,3 Rooms,1 Bathroom,Good condition,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,5-10 years old,
apartment,"1,150 TND",Aouina inLa Marsa,79m²,2 Pieces,1 Room,1 Bathroom,Good condition,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
apartment,"1,100 TND",Ain Zaghouan Nord inLa Marsa,60m²,2 Pieces,1 Room,1 Bathroom,New,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,,
house,650 TND,Hammamet Nord inHammamet,110m²,4 Pieces,3 Rooms,1 Bathroom,Good condition,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,5-10 years old,
apartment,"1,200 TND",Aouina inLa Marsa,72m²,5 Pieces,2 Rooms,1 Bathroom,New,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,1ststage,1-5 years old,
apartment,"2,500 TND",La Marsa inLa Marsa,140m²,2 Pieces,1 Room,1 Bathroom,New,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,,,
house,"3,500 TND",Cité Les Pins inLa Marsa,140m²,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
apartment,960 TND,Les Jardins d'El Menzah 2 inAriana Ville,90m²,2 Pieces,1 Room,1 Bathroom,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,,1-5 years old,
apartment,"1,250 TND",Les Jardins d'El Menzah 2 inAriana Ville,150m²,4 Pieces,3 Rooms,2 Bathrooms,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,2ndstage,5-10 years old,
apartment,850 TND,Montplaisir inTunis,75m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2ndstage,Less than 1 year,
house,"5,200 TND",Les Jardins de Carthage inLe Kram,500m²,,4 Rooms,4 Bathrooms,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,,1-5 years old,
apartment,,Les Berges Du Lac 2 inLa Marsa,180m²,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,,,
apartment,"1,200 TND",Les Jardins de Carthage inLe Kram,60m²,,1 Room,2 Bathrooms,Good condition,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,,,1 Piece
house,"6,300 TND",Gammarth Village inLa Marsa,600m²,6 Pieces,4 Rooms,4 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,,5-10 years old,
house,"3,000 TND",El Menzah 9 inEl Menzah,245m²,,3 Rooms,3 Bathrooms,New,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,5-10 years old,
apartment,"1,600 TND",La Soukra inLa Soukra,150m²,4 Pieces,3 Rooms,2 Bathrooms,Good condition,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,,
house,"7,000 TND",Amilcar inCarthage,400m²,5 Pieces,4 Rooms,3 Bathrooms,Good condition,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,,,
apartment,"1,600 TND",La Soukra inLa Soukra,100m²,2 Pieces,1 Room,1 Bathroom,Good condition,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,1-5 years old,
apartment,"2,500 TND",Le Kram inLe Kram,130m²,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,5thstage,10-20 years old,
house,"7,000 TND",Gammarth inLa Marsa,250m²,5 Pieces,4 Rooms,3 Bathrooms,New,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,,5-10 years old,
apartment,"1,200 TND",El Manar 2 inEl Menzah,160m²,5 Pieces,3 Rooms,1 Bathroom,Good condition,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1ststage,10-20 years old,
apartment,"1,500 TND",Bhar Lazreg inLa Marsa,160m²,4 Pieces,3 Rooms,3 Bathrooms,New,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,,Less than 1 year,
house,"6,500 TND",Les Berges Du Lac 2 inLa Marsa,550m²,5 Pieces,4 Rooms,4 Bathrooms,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,,1-5 years old,
house,"6,500 TND",Gammarth inLa Marsa,,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,,1-5 years old,
house,800 TND,Hammamet inHammamet,80m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,,,
apartment,"1,500 TND",Hammamet inHammamet,180m²,3 Pieces,3 Rooms,1 Bathroom,Good condition,yes,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,,5-10 years old,
house,"4,700 TND",El Manar 1 inEl Menzah,700m²,7 Pieces,5 Rooms,4 Bathrooms,New,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,,Less than 1 year,
apartment,"1,000 TND",Hammamet inHammamet,,3 Pieces,2 Rooms,2 Bathrooms,Good condition,yes,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,,
house,"2,500 TND",Hammamet inHammamet,210m²,8 Pieces,7 Rooms,6 Bathrooms,New,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,,,
house,"8,500 TND",Carthage inCarthage,400m²,6 Pieces,4 Rooms,4 Bathrooms,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,,5-10 years old,
apartment,"2,600 TND",La Marsa inLa Marsa,80m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,2ndstage,5-10 years old,
apartment,"1,750 TND",La Marsa inLa Marsa,60m²,2 Pieces,1 Room,1 Bathroom,New,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,2ndstage,1-5 years old,
apartment,"1,500 TND",Aouina inLa Marsa,90m²,2 Pieces,1 Room,1 Bathroom,Good condition,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,1-5 years old,
apartment,"1,700 TND",Hammamet inHammamet,120m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,,,
house,"1,500 TND",Hammamet Nord inHammamet,120m²,5 Pieces,4 Rooms,1 Bathroom,Good condition,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,,
apartment,"1,450 TND",Hammamet inHammamet,70m²,,1 Room,1 Bathroom,New,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,,,1 Piece
apartment,"3,300 TND",Les Berges Du Lac 2 inLa Marsa,180m²,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,,,
apartment,"1,900 TND",La Goulette inLa Goulette,100m²,3 Pieces,2 Rooms,2 Bathrooms,Good condition,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,1ststage,5-10 years old,
apartment,"4,200 TND",La Marsa inLa Marsa,170m²,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,,,
apartment,"2,200 TND",Les Jardins de Carthage inLe Kram,60m²,2 Pieces,1 Room,1 Bathroom,New,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,1ststage,Less than 1 year,
house,"7,500 TND",Sidi Bousaid inCarthage,400m²,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,,,
house,"2,100 TND",Hammamet Nord inHammamet,,6 Pieces,4 Rooms,3 Bathrooms,Good condition,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,,,
house,"1,200 TND",Hammamet Nord inHammamet,,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,,,
house,"5,000 TND",Gammarth inLa Marsa,500m²,5 Pieces,4 Rooms,2 Bathrooms,Good condition,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,,,
apartment,"1,600 TND",La Marsa inLa Marsa,50m²,2 Pieces,1 Room,1 Bathroom,New,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,3rdstage,1-5 years old,
house,"8,500 TND",Les Berges Du Lac 2 inLa Marsa,600m²,5 Pieces,5 Rooms,1 Bathroom,New,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,,,
apartment,"2,200 TND",Les Berges Du Lac 2 inLa Marsa,120m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,,1-5 years old,
house,,Sidi Bousaid inCarthage,1500m²,,5 Rooms,3 Bathrooms,New,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,,Less than 1 year,
apartment,"8,000 TND",La Marsa,250m²,,4 Rooms,,,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,,
